"feature_id"	"type"	"function."	"evidence_codes"
"fig|1578.155.peg.802"	"peg"	"Formate--tetrahydrofolate ligase (EC 6.3.4.3)"	"isu;One-carbon_metabolism_by_tetrahydropterines"
"fig|1578.155.peg.803"	"peg"	"contains predicted phosphohydrolase domain"	"ff"
"fig|1578.155.peg.804"	"peg"	"FIG001721: Predicted N6-adenine-specific DNA methylase"	"icw(2);Control_of_cell_elongation_-_division_cycle_in_Bacilli"
"fig|1578.155.peg.805"	"peg"	"Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1"	"icw(2);Control_of_cell_elongation_-_division_cycle_in_Bacilli"
"fig|1578.155.peg.806"	"peg"	"FIG005686: hypothetical protein"	"icw(6);Control_of_cell_elongation_-_division_cycle_in_Bacilli"
"fig|1578.155.peg.807"	"peg"	"RecU Holliday junction resolvase"	"isu;Control_of_cell_elongation_-_division_cycle_in_Bacilli isu;DNA_repair,_bacterial_RecFOR_pathway"
"fig|1578.155.peg.808"	"peg"	"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) / Penicillin-binding protein 1A/1B (PBP1)"	"icw(5);Control_of_cell_elongation_-_division_cycle_in_Bacilli idu(2);Peptidoglycan_Biosynthesis"
"fig|1578.155.peg.809"	"peg"	"Endonuclease III (EC 4.2.99.18)"	"idu(1);DNA_Repair_Base_Excision icw(1);Control_of_cell_elongation_-_division_cycle_in_Bacilli"
"fig|1578.155.peg.810"	"peg"	"Chromosome replication initiation protein DnaD"	"icw(3);Control_of_cell_elongation_-_division_cycle_in_Bacilli"
"fig|1578.155.peg.811"	"peg"	"Asparaginyl-tRNA synthetase (EC 6.1.1.22)"	"isu;tRNA_aminoacylation,_Asp_and_Asn"
"fig|1578.155.peg.812"	"peg"	"FIG00742179: hypothetical protein"	"ff"
"fig|1578.155.peg.813"	"peg"	"DinG family ATP-dependent helicase YoaA"	"isu;DNA_repair,_bacterial_DinG_and_relatives"
"fig|1578.155.peg.814"	"peg"	"ATP-dependent nuclease, subunit A"	"icw(1);ATP-dependent_Nuclease"
"fig|1578.155.peg.815"	"peg"	"ATP-dependent nuclease, subunit B"	"isu;ATP-dependent_Nuclease"
"fig|1578.155.peg.816"	"peg"	"Mevalonate kinase (EC 2.7.1.36)"	"icw(2);Mevalonate_Branch_of_Isoprenoid_Biosynthesis icw(1);Isoprenoid_Biosynthesis"
"fig|1578.155.peg.817"	"peg"	"Diphosphomevalonate decarboxylase (EC 4.1.1.33)"	"isu;Mevalonate_Branch_of_Isoprenoid_Biosynthesis icw(2);Isoprenoid_Biosynthesis"
"fig|1578.155.peg.818"	"peg"	"Phosphomevalonate kinase (EC 2.7.4.2)"	"icw(1);Mevalonate_Branch_of_Isoprenoid_Biosynthesis icw(3);Isoprenoid_Biosynthesis"
"fig|1578.155.peg.819"	"peg"	"Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)"	"isu;Isoprenoid_Biosynthesis isu;Isoprenoid_Biosynthesis:_Interconversions"
"fig|1578.155.peg.820"	"peg"	"HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)"	"ff"
"fig|1578.155.peg.821"	"peg"	"tRNA and rRNA cytosine-C5-methylases"	"ff"
"fig|1578.155.peg.822"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.823"	"peg"	"FIG00743236: hypothetical protein"	"ff"
"fig|1578.155.peg.824"	"peg"	"Signal peptidase I (EC 3.4.21.89)"	"idu(1);Signal_peptidase idu(1);CBSS-176299.4.peg.1292"
"fig|1578.155.peg.825"	"peg"	"FIG00743283: hypothetical protein"	"ff"
"fig|1578.155.peg.826"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.827"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.155.peg.828"	"peg"	"Transcriptional regulator, GntR family"	"ff"
"fig|1578.155.peg.829"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.830"	"peg"	"Tripeptide aminopeptidase (EC 3.4.11.4)"	"ff"
"fig|1578.155.peg.831"	"peg"	"FIG146262: hypothetical protein"	"ff"
"fig|1578.155.peg.832"	"peg"	"Putative tRNA-m1A22 methylase"	"isu;CBSS-349161.4.peg.2417"
"fig|1578.155.peg.833"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.834"	"peg"	"ABC transporter ATP-binding protein"	""
"fig|1578.155.peg.835"	"peg"	"putative mutator protein( EC:3.6.1.- )"	"ff"
"fig|1578.155.peg.836"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.837"	"peg"	"RNA polymerase sigma factor RpoD"	"isu;CBSS-349161.4.peg.2417 isu;Macromolecular_synthesis_operon isu;Flagellum isu;Transcription_initiation,_bacterial_sigma_factors"
"fig|1578.155.peg.838"	"peg"	"DNA primase (EC 2.7.7.-)"	"icw(1);CBSS-349161.4.peg.2417 isu;DNA-replication icw(1);Macromolecular_synthesis_operon"
"fig|1578.155.peg.839"	"peg"	"Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)"	"icw(1);tRNA_aminoacylation,_Gly icw(4);Glycyl-tRNA_synthetase_containing_cluster icw(1);Glycyl-tRNA_synthetase"
"fig|1578.155.peg.840"	"peg"	"Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)"	"isu;tRNA_aminoacylation,_Gly icw(2);Glycyl-tRNA_synthetase_containing_cluster isu;Glycyl-tRNA_synthetase"
"fig|1578.155.peg.841"	"peg"	"DNA recombination and repair protein RecO"	"icw(5);Glycyl-tRNA_synthetase_containing_cluster isu;DNA_repair,_bacterial_RecFOR_pathway icw(1);CBSS-176299.4.peg.1292"
"fig|1578.155.peg.842"	"peg"	"GTP-binding protein Era"	"isu;Universal_GTPases icw(3);Glycyl-tRNA_synthetase_containing_cluster isu;Bacterial_Cell_Division isu;CBSS-176299.4.peg.1292"
"fig|1578.155.peg.843"	"peg"	"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"	"icw(1);Glycyl-tRNA_synthetase_containing_cluster icw(1);CBSS-56780.10.peg.1536"
"fig|1578.155.peg.844"	"peg"	"Phosphate starvation-inducible protein PhoH, predicted ATPase"	"isu;Inteins isu;Glycyl-tRNA_synthetase_containing_cluster isu;CBSS-56780.10.peg.1536 isu;Phosphate_metabolism"
"fig|1578.155.peg.845"	"peg"	"Transamidase GatB domain protein"	"isu;Macromolecular_synthesis_operon"
"fig|1578.155.peg.846"	"peg"	"SSU ribosomal protein S21p"	"icw(1);Macromolecular_synthesis_operon isu;Ribosome_SSU_bacterial"
"fig|1578.155.peg.847"	"peg"	"ATP/GTP-binding protein, SA1392 homolog"	"ff"
"fig|1578.155.peg.848"	"peg"	"Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)"	"isu;Peptide_methionine_sulfoxide_reductase isu;Putative_sugar_ABC_transporter_(ytf_cluster)"
"fig|1578.155.peg.849"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.850"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.851"	"peg"	"FIG00748020: hypothetical protein"	"ff"
"fig|1578.155.peg.852"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.853"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.155.peg.854"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.855"	"peg"	"Integral membrane protein"	"ff"
"fig|1578.155.peg.856"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.857"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.858"	"peg"	"Lanthionine biosynthesis protein LanL"	"isu;Lanthionine_Synthetases"
"fig|1578.155.peg.859"	"peg"	"Lipid A export ATP-binding/permease protein MsbA"	"ff"
"fig|1578.155.peg.860"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.861"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.862"	"peg"	"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"	"idu(1);Restriction-Modification_System idu(1);Type_I_Restriction-Modification"
"fig|1578.155.peg.863"	"peg"	"Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)"	"isu;Peptide_methionine_sulfoxide_reductase isu;Unknown_carbohydrate_utilization_(_cluster_Ydj_)"
"fig|1578.155.peg.864"	"peg"	"N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)"	"ff"
"fig|1578.155.peg.865"	"peg"	"Thiol peroxidase, Tpx-type (EC 1.11.1.15)"	"isu;CBSS-257314.1.peg.752 isu;Thioredoxin-disulfide_reductase"
"fig|1578.155.peg.866"	"peg"	"S-layer protein precursor"	""
"fig|1578.155.peg.867"	"peg"	"ADP-ribose pyrophosphatase (putative)( EC:3.6.1.13 )"	"ff"
"fig|1578.155.peg.868"	"peg"	"Aspartyl-tRNA synthetase (EC 6.1.1.12)"	"isu;tRNA_aminoacylation,_Asp_and_Asn"
"fig|1578.155.peg.869"	"peg"	"Histidyl-tRNA synthetase (EC 6.1.1.21)"	"isu;tRNA_aminoacylation,_His"
"fig|1578.155.peg.870"	"peg"	"D-tyrosyl-tRNA(Tyr) deacylase (EC 3.6.1.n1)"	"ff"
"fig|1578.155.peg.871"	"peg"	"GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I"	"isu;Stringent_Response,_(p)ppGpp_metabolism isu;CBSS-176299.4.peg.1292"
"fig|1578.155.peg.872"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.873"	"peg"	"Ribosomal protein L11 methyltransferase (EC 2.1.1.-)"	"isu;Heat_shock_dnaK_gene_cluster_extended isu;Ribosome_biogenesis_bacterial"
"fig|1578.155.peg.874"	"peg"	"Transcriptional regulator"	"ff"
"fig|1578.155.peg.875"	"peg"	"Citrate lyase transcriptional regulator CitI"	"icw(1);Citrate_Metabolism,_Transport,_and_Regulation"
"fig|1578.155.peg.876"	"peg"	"Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61)"	"icw(2);Citrate_Metabolism,_Transport,_and_Regulation"
"fig|1578.155.peg.877"	"peg"	"Citrate lyase alpha chain (EC 4.1.3.6)"	"icw(5);Citrate_Metabolism,_Transport,_and_Regulation"
"fig|1578.155.peg.878"	"peg"	"Citrate lyase beta chain (EC 4.1.3.6)"	"icw(4);Citrate_Metabolism,_Transport,_and_Regulation"
"fig|1578.155.peg.879"	"peg"	"Citrate lyase gamma chain, acyl carrier protein (EC 4.1.3.6)"	"isu;Citrate_Metabolism,_Transport,_and_Regulation isu;TCA_Cycle"
"fig|1578.155.peg.880"	"peg"	"[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)"	"icw(3);Citrate_Metabolism,_Transport,_and_Regulation"
"fig|1578.155.peg.881"	"peg"	"FIG00773110: hypothetical protein"	"ff"
"fig|1578.155.peg.882"	"peg"	"2-oxoglutarate-malate translocator"	"ff"
"fig|1578.155.peg.883"	"peg"	"Dimethylmenaquinone methyltransferase"	"ff"
"fig|1578.155.peg.884"	"peg"	"L-lactate dehydrogenase (EC 1.1.1.27)"	"idu(1);Fermentations:_Lactate idu(1);Fermentations:_Mixed_acid"
"fig|1578.155.peg.885"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"idu(15);Succinate_dehydrogenase"
"fig|1578.155.peg.886"	"peg"	"Fumarate hydratase class II (EC 4.2.1.2)"	"isu;TCA_Cycle"
"fig|1578.155.peg.887"	"peg"	"Branched-chain amino acid transport system carrier protein"	"ff"
"fig|1578.155.peg.888"	"peg"	"Cytoplasmic copper homeostasis protein cutC"	"ff"
"fig|1578.155.peg.889"	"peg"	"FIG00746992: hypothetical protein"	"ff"
"fig|1578.155.peg.890"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(2);Succinate_dehydrogenase"
"fig|1578.155.peg.891"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(2);Succinate_dehydrogenase"
"fig|1578.155.peg.892"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(2);Succinate_dehydrogenase"
"fig|1578.155.peg.893"	"peg"	"Malolactic regulator"	"isu;Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"
"fig|1578.155.peg.894"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.895"	"peg"	"glycosyl transferase, family 8"	""
"fig|1578.155.peg.896"	"peg"	"DNA-binding protein HBsu"	"idu(1);DNA_structural_proteins,_bacterial"
"fig|1578.155.peg.897"	"peg"	"Methionine ABC transporter permease protein"	"icw(2);Methionine_Degradation icw(2);Methionine_Biosynthesis"
"fig|1578.155.peg.898"	"peg"	"Methionine ABC transporter ATP-binding protein"	"icw(1);Methionine_Degradation icw(1);Methionine_Biosynthesis"
"fig|1578.155.peg.899"	"peg"	"Methionine ABC transporter substrate-binding protein"	"isu;Staphylococcal_pathogenicity_islands_SaPI isu;Methionine_Degradation isu;Methionine_Biosynthesis"
"fig|1578.155.peg.900"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.901"	"peg"	"Dihydrofolate reductase (EC 1.5.1.3)"	"isu;Folate_Biosynthesis"
"fig|1578.155.peg.902"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.903"	"peg"	"NrdR-regulated deoxyribonucleotide transporter, PnuC-like"	""
"fig|1578.155.peg.904"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.905"	"peg"	"Transcriptional regulator, MerR family"	"idu(1);Cobalt-zinc-cadmium_resistance"
"fig|1578.155.peg.906"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.907"	"peg"	"Transcriptional regulator, XRE family"	""
"fig|1578.155.peg.908"	"peg"	"unknown"	""
"fig|1578.155.peg.909"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.910"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.911"	"peg"	"Phage lysin, N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)"	""
"fig|1578.155.peg.912"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.913"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.914"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.915"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.916"	"peg"	"FIG00745949: hypothetical protein"	"ff"
"fig|1578.155.peg.917"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.918"	"peg"	"FIG00743934: hypothetical protein"	"ff"
"fig|1578.155.peg.919"	"peg"	"Phage protein"	""
"fig|1578.155.peg.920"	"peg"	"Phage baseplate"	"idu(2);Phage_baseplate_proteins"
"fig|1578.155.peg.921"	"peg"	"Phage-like element PBSX protein xkdS"	""
"fig|1578.155.peg.922"	"peg"	"Phage related protein"	"ff"
"fig|1578.155.peg.923"	"peg"	"Phage-like element PBSX protein xkdQ"	""
"fig|1578.155.peg.924"	"peg"	"Phage-like element PBSX protein xkdP"	""
"fig|1578.155.peg.925"	"peg"	"Phage tail fibers"	"icw(2);Phage_tail_fiber_proteins"
"fig|1578.155.peg.926"	"peg"	"Phage protein"	""
"fig|1578.155.peg.927"	"peg"	"Phage tail fibers"	"icw(2);Phage_tail_fiber_proteins"
"fig|1578.155.peg.928"	"peg"	"Phage tail fibers"	"icw(2);Phage_tail_fiber_proteins"
"fig|1578.155.peg.929"	"peg"	"Phage protein"	""
"fig|1578.155.peg.930"	"peg"	"Phage protein"	""
"fig|1578.155.peg.931"	"peg"	"Phage related protein"	""
"fig|1578.155.peg.932"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.933"	"peg"	"Lactobacillus delbrueckii phage mv4 main capsid protein Gp34 homolog lin2390"	"ff"
"fig|1578.155.peg.934"	"peg"	"Phage capsid scaffolding protein # Fam Scf028"	"idu(1);Phage_capsid_proteins"
"fig|1578.155.peg.935"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.936"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.937"	"peg"	"Phage Mu protein F like protein"	"ff"
"fig|1578.155.peg.938"	"peg"	"Phage portal protein"	"icw(2);Phage_packaging_machinery"
"fig|1578.155.peg.939"	"peg"	"Phage terminase, large subunit"	"icw(1);Phage_packaging_machinery"
"fig|1578.155.peg.940"	"peg"	"Phage terminase small subunit"	"isu;Phage_packaging_machinery"
"fig|1578.155.peg.941"	"peg"	"Phage-related protein"	"ff"
"fig|1578.155.peg.942"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.943"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.944"	"peg"	"DNA-damage-inducible protein J"	"idu(1);DNA_repair,_bacterial icw(1);Toxin-antitoxin_replicon_stabilization_systems"
"fig|1578.155.peg.945"	"peg"	"YafQ toxin protein"	"idu(1);Toxin-antitoxin_replicon_stabilization_systems"
"fig|1578.155.peg.946"	"peg"	"Phage related protein"	""
"fig|1578.155.peg.947"	"peg"	"Phage Holliday junction resolvase"	""
"fig|1578.155.peg.948"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.949"	"peg"	"Single-stranded DNA-binding protein"	"idu(1);DNA_repair,_bacterial_RecFOR_pathway icw(1);DNA_repair,_bacterial idu(1);pVir_Plasmid_of_Campylobacter"
"fig|1578.155.peg.950"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.951"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.952"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.953"	"peg"	"Helicase loader DnaI"	"idu(1);DNA-replication"
"fig|1578.155.peg.954"	"peg"	"Phage protein"	""
"fig|1578.155.peg.955"	"peg"	"Phage-associated recombinase"	""
"fig|1578.155.peg.956"	"peg"	"Phage protein"	""
"fig|1578.155.peg.957"	"peg"	"Phage protein"	""
"fig|1578.155.peg.958"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.959"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.960"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.961"	"peg"	"Phage antirepressor protein"	"ff"
"fig|1578.155.peg.962"	"peg"	"Phage protein"	""
"fig|1578.155.peg.963"	"peg"	"Phage repressor"	""
"fig|1578.155.peg.964"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.965"	"peg"	"UPF0325 protein YaeH"	"ff"
"fig|1578.155.peg.966"	"peg"	"Phage protein"	""
"fig|1578.155.peg.967"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.968"	"peg"	"Integrase"	"ff"
"fig|1578.155.rna.44"	"rna"	"tRNA-Ser-CGA"	"isu;tRNAs"
"fig|1578.155.peg.969"	"peg"	"ABC transporter, permease protein (putative)"	"ff"
"fig|1578.155.peg.970"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.155.peg.971"	"peg"	"Competence-stimulating peptide ABC transporter permease protein ComB"	""
"fig|1578.155.peg.972"	"peg"	"Bacteriocin ABC-transporter, ATP-binding and permease component"	"ff"
"fig|1578.155.peg.973"	"peg"	"Competence-stimulating peptide ABC transporter ATP-binding protein ComA"	""
"fig|1578.155.peg.974"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.975"	"peg"	"Transcriptional regulator, XRE family"	""
"fig|1578.155.peg.976"	"peg"	"Phosphatase"	"ff"
"fig|1578.155.peg.977"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.978"	"peg"	"DegV family protein"	"ff"
"fig|1578.155.peg.979"	"peg"	"Enolase (EC 4.2.1.11)"	"isu;Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes isu;Glycolysis_and_Gluconeogenesis"
"fig|1578.155.peg.980"	"peg"	"Cation-transporting ATPase (EC 3.6.3.6)"	"ff"
"fig|1578.155.peg.981"	"peg"	"Histone acetyltransferase HPA2 and related acetyltransferases"	"ff"
"fig|1578.155.peg.982"	"peg"	"Adenine phosphoribosyltransferase (EC 2.4.2.7)"	"idu(1);Purine_conversions idu(1);cAMP_signaling_in_bacteria"
"fig|1578.155.peg.983"	"peg"	"Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)"	"isu;DNA_Repair_Base_Excision isu;DNA-replication isu;DNA_repair,_bacterial_RecFOR_pathway"
"fig|1578.155.peg.984"	"peg"	"Translation elongation factor LepA"	"isu;Universal_GTPases icw(2);Heat_shock_dnaK_gene_cluster_extended isu;Translation_elongation_factors_bacterial"
"fig|1578.155.peg.985"	"peg"	"hypothetical protein"	""
"fig|1578.155.peg.986"	"peg"	"Chaperone protein DnaJ"	"icw(3);GroEL_GroES icw(2);Heat_shock_dnaK_gene_cluster_extended icw(2);Protein_chaperones"
"fig|1578.155.peg.987"	"peg"	"Chaperone protein DnaK"	"icw(2);GroEL_GroES icw(1);Heat_shock_dnaK_gene_cluster_extended icw(1);Protein_chaperones"
"fig|1578.155.peg.988"	"peg"	"Heat shock protein GrpE"	"isu;GroEL_GroES icw(3);Heat_shock_dnaK_gene_cluster_extended isu;Protein_chaperones"
"fig|1578.155.peg.989"	"peg"	"Heat-inducible transcription repressor HrcA"	"icw(1);GroEL_GroES isu;Heat_shock_dnaK_gene_cluster_extended"
"fig|1578.155.peg.990"	"peg"	"Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)"	"isu;Riboflavin,_FMN_and_FAD_metabolism_in_plants icw(1);Riboflavin,_FMN_and_FAD_metabolism_in_plants isu;Riboflavin,_FMN_and_FAD_metabolism isu;Riboflavin,_FMN_and_FAD_metabolism isu;riboflavin_to_FAD isu;riboflavin_to_FAD"
"fig|1578.155.peg.991"	"peg"	"tRNA pseudouridine synthase B (EC 4.2.1.70)"	"icw(2);CBSS-138119.3.peg.2719 isu;tRNA_processing icw(1);Riboflavin,_FMN_and_FAD_metabolism_in_plants isu;RNA_pseudouridine_syntheses"
"fig|1578.155.peg.992"	"peg"	"Ribosome-binding factor A"	"icw(1);CBSS-138119.3.peg.2719 icw(4);NusA-TFII_Cluster icw(1);Translation_initiation_factors_bacterial"
"fig|1578.155.peg.993"	"peg"	"Translation initiation factor 2"	"isu;CBSS-138119.3.peg.2719 isu;Universal_GTPases isu;Inteins isu;NusA-TFII_Cluster isu;Translation_initiation_factors_bacterial"
"fig|1578.155.peg.994"	"peg"	"ribosomal protein L7Ae family protein"	"icw(5);NusA-TFII_Cluster icw(3);Transcription_factors_bacterial"
"fig|1578.155.peg.995"	"peg"	"COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination"	"icw(2);NusA-TFII_Cluster icw(1);Transcription_factors_bacterial"
"fig|1578.155.peg.996"	"peg"	"Transcription termination protein NusA"	"icw(3);NusA-TFII_Cluster icw(2);Transcription_factors_bacterial"
"fig|1578.155.peg.997"	"peg"	"FIG000325: clustered with transcription termination protein NusA"	"icw(1);NusA-TFII_Cluster isu;Transcription_factors_bacterial"
"fig|1578.155.peg.998"	"peg"	"DNA polymerase III alpha subunit (EC 2.7.7.7)"	"idu(1);Phage_replication idu(1);Inteins idu(1);DNA-replication"
"fig|1578.155.peg.999"	"peg"	"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"	"isu;tRNA_aminoacylation,_Pro"
"fig|1578.155.peg.1000"	"peg"	"Membrane-associated zinc metalloprotease"	"ff"
"fig|1578.155.peg.1001"	"peg"	"Phosphatidate cytidylyltransferase (EC 2.7.7.41)"	"isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria"
"fig|1578.155.peg.1002"	"peg"	"Undecaprenyl diphosphate synthase (EC 2.5.1.31)"	"isu;Polyprenyl_Diphosphate_Biosynthesis isu;Isoprenoinds_for_Quinones isu;CBSS-83331.1.peg.3039 isu;Isoprenoid_Biosynthesis"
"fig|1578.155.peg.1003"	"peg"	"Ribosome recycling factor"	"icw(1);Ribosome_recycling_related_cluster isu;Translation_termination_factors_bacterial"
"fig|1578.155.peg.1004"	"peg"	"Uridine monophosphate kinase (EC 2.7.4.22)"	"icw(3);Ribosome_recycling_related_cluster icw(2);CBSS-312309.3.peg.1965"
"fig|1578.155.peg.1005"	"peg"	"Transcriptional regulator/sugar kinase"	"ff"
"fig|1578.155.peg.1006"	"peg"	"Translation elongation factor Ts"	"isu;Translation_elongation_factors_bacterial icw(2);Ribosome_recycling_related_cluster icw(1);CBSS-312309.3.peg.1965"
"fig|1578.155.peg.1007"	"peg"	"SSU ribosomal protein S2p (SAe)"	"isu;Ribosome_SSU_bacterial isu;Ribosome_recycling_related_cluster isu;CBSS-312309.3.peg.1965"
"fig|1578.155.peg.1008"	"peg"	"tRNA (adenine37-N(6))-methyltransferase TrmN6 (EC 2.1.1.223)"	"isu;RNA_methylation"
"fig|1578.155.peg.1009"	"peg"	"1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)"	"isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria isu;Ribosome_post-transcriptional_modification_and_chromosomal_segregation_cluster"
"fig|1578.155.peg.1010"	"peg"	"Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)"	"ff"
"fig|1578.155.peg.1011"	"peg"	"ABC transporter, ATP-binding and permease protein"	"ff"
"fig|1578.155.peg.1012"	"peg"	"ABC transporter, ATP-binding and permease protein"	"ff"
"fig|1578.155.peg.1013"	"peg"	"FIG00742188: hypothetical protein"	"ff"
"fig|1578.155.peg.1014"	"peg"	"FIG00742757: hypothetical protein"	"ff"
"fig|1578.155.peg.1015"	"peg"	"SOS-response repressor and protease LexA (EC 3.4.21.88)"	"isu;DNA_repair,_bacterial_UmuCD_system isu;DNA_repair,_bacterial"
"fig|1578.155.peg.1016"	"peg"	"Uridine phosphorylase (EC 2.4.2.3)"	"ff"
"fig|1578.155.peg.1017"	"peg"	"LSU ribosomal protein L19p"	"isu;Ribosome_LSU_bacterial"
"fig|1578.155.peg.1018"	"peg"	"tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)"	"isu;RNA_methylation icw(1);Ribosome_biogenesis_bacterial"
"fig|1578.155.peg.1019"	"peg"	"16S rRNA processing protein RimM"	"isu;Ribosome_biogenesis_bacterial isu;KH_domain_RNA_binding_protein_YlqC"
"fig|1578.155.peg.1020"	"peg"	"SSU ribosomal protein S16p"	"isu;Ribosome_SSU_bacterial icw(1);KH_domain_RNA_binding_protein_YlqC"
"fig|1578.155.peg.1021"	"peg"	"Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)"	"isu;Universal_GTPases isu;Bacterial_signal_recognition_particle_(SRP)"
"fig|1578.155.peg.1022"	"peg"	"Signal recognition particle associated protein"	"icw(1);Bacterial_signal_recognition_particle_(SRP)"
"fig|1578.155.peg.1023"	"peg"	"Amino acid transporter"	"ff"
"fig|1578.155.peg.1024"	"peg"	"dipeptidase"	"ff"
"fig|1578.155.peg.1025"	"peg"	"Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)"	"isu;Universal_GTPases icw(1);Bacterial_signal_recognition_particle_(SRP) isu;Bacterial_Cell_Division"
"fig|1578.155.peg.1026"	"peg"	"Chromosome partition protein smc"	"isu;DNA_structural_proteins,_bacterial"
"fig|1578.155.peg.1027"	"peg"	"Ribonuclease III (EC 3.1.26.3)"	"isu;RNA_processing_and_degradation,_bacterial isu;CBSS-176299.4.peg.1292"
"fig|1578.155.peg.1028"	"peg"	"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"	"icw(3);ABC_transporter_oligopeptide_(TC_3.A.1.5.1) icw(1);Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes"
